path,category,pattern,size,archived_to,timestamp
grokkeeper_unified.py.backup_20250910_121621,file,BACKUP,15045,archive_v1/grokkeeper_unified.py.backup_20250910_121621,2025-10-08T22:12:14.428855
comprehensive_tracking.jsonl.backup_20250910_222438,file,BACKUP,290152,archive_v1/comprehensive_tracking.jsonl.backup_20250910_222438,2025-10-08T22:12:14.428931
rollback_to_v1.sh,file,_v[0-9]+,18102,archive_v1/rollback_to_v1.sh,2025-10-08T22:12:14.429261
AAA_v2_ENGINE_ANALYSIS_REPORT.md,file,_v[0-9]+,7353,archive_v1/AAA_v2_ENGINE_ANALYSIS_REPORT.md,2025-10-08T22:12:14.429334
start_v207_processes.sh,file,_v[0-9]+,1526,archive_v1/start_v207_processes.sh,2025-10-08T22:12:14.429406
.env.master.backup,file,BACKUP,1001,archive_v1/.env.master.backup,2025-10-08T22:12:14.429475
BITTEN_MISSION_DEPLOY_v1.zip,file,_v[0-9]+,4401,archive_v1/BITTEN_MISSION_DEPLOY_v1.zip,2025-10-08T22:12:14.429539
missions/TEST_DEBUG_SL_TP.json,file,_debug_,1512,archive_v1/missions/TEST_DEBUG_SL_TP.json,2025-10-08T22:12:14.429653
bitten-ui/node_modules/async-function/legacy.js,file,LEGACY,380,archive_v1/bitten-ui/node_modules/async-function/legacy.js,2025-10-08T22:12:14.429764
bitten-ui/node_modules/eslint-plugin-jsx-a11y/lib/configs/legacy-config-base.js,file,LEGACY,101,archive_v1/bitten-ui/node_modules/eslint-plugin-jsx-a11y/lib/configs/legacy-config-base.js,2025-10-08T22:12:14.429930
bitten-ui/node_modules/eslint/lib/eslint/legacy-eslint.js,file,LEGACY,25681,archive_v1/bitten-ui/node_modules/eslint/lib/eslint/legacy-eslint.js,2025-10-08T22:12:14.430127
bitten-ui/node_modules/eslint/lib/rules/indent-legacy.js,file,LEGACY,35714,archive_v1/bitten-ui/node_modules/eslint/lib/rules/indent-legacy.js,2025-10-08T22:12:14.430238
bitten-ui/node_modules/typescript/lib/lib.decorators.legacy.d.ts,file,LEGACY,1326,archive_v1/bitten-ui/node_modules/typescript/lib/lib.decorators.legacy.d.ts,2025-10-08T22:12:14.430377
bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-restore.js.map,file,ARCHIVE,3435,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-restore.js.map,2025-10-08T22:12:14.430606
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-symlink.js,file,OLD,671,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-symlink.js,2025-10-08T22:12:14.430710
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-lock.js,file,OLD,721,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-lock.js,2025-10-08T22:12:14.430784
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-pen.js,file,OLD,765,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-pen.js,2025-10-08T22:12:14.430854
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-input.js.map,file,OLD,3312,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-input.js.map,2025-10-08T22:12:14.430929
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-code.js,file,OLD,703,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-code.js,2025-10-08T22:12:14.430997
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-git.js.map,file,OLD,3567,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-git.js.map,2025-10-08T22:12:14.431063
bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-vertical.js.map,file,OLD,3840,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-vertical.js.map,2025-10-08T22:12:14.431131
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-key.js,file,OLD,730,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-key.js,2025-10-08T22:12:14.431202
bitten-ui/node_modules/lucide-react/dist/esm/icons/door-closed-locked.js.map,file,LOCKED,3572,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/door-closed-locked.js.map,2025-10-08T22:12:14.431273
bitten-ui/node_modules/lucide-react/dist/esm/icons/folders.js,file,OLD,687,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folders.js,2025-10-08T22:12:14.431348
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open-dot.js,file,OLD,724,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open-dot.js,2025-10-08T22:12:14.431419
bitten-ui/node_modules/lucide-react/dist/esm/icons/archive.js.map,file,ARCHIVE,2734,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/archive.js.map,2025-10-08T22:12:14.431491
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-output.js.map,file,OLD,3334,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-output.js.map,2025-10-08T22:12:14.431563
bitten-ui/node_modules/lucide-react/dist/esm/icons/database-backup.js,file,BACKUP,851,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/database-backup.js,2025-10-08T22:12:14.431639
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-tree.js.map,file,OLD,4681,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-tree.js.map,2025-10-08T22:12:14.431846
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open.js.map,file,OLD,3118,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open.js.map,2025-10-08T22:12:14.431962
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-tree.js,file,OLD,889,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-tree.js,2025-10-08T22:12:14.432038
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog-2.js.map,file,OLD,103,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog-2.js.map,2025-10-08T22:12:14.432114
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-closed.js.map,file,OLD,2994,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-closed.js.map,2025-10-08T22:12:14.432185
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog.js,file,OLD,1120,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog.js,2025-10-08T22:12:14.432257
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-x.js,file,OLD,679,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-x.js,2025-10-08T22:12:14.432326
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-lock.js.map,file,OLD,3535,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-lock.js.map,2025-10-08T22:12:14.432395
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-key.js.map,file,OLD,3524,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-key.js.map,2025-10-08T22:12:14.432514
bitten-ui/node_modules/lucide-react/dist/esm/icons/calendar-fold.js.map,file,OLD,3371,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/calendar-fold.js.map,2025-10-08T22:12:14.432589
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-edit.js,file,OLD,257,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-edit.js,2025-10-08T22:12:14.432700
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search-2.js,file,OLD,723,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search-2.js,2025-10-08T22:12:14.432777
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-plus.js,file,OLD,679,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-plus.js,2025-10-08T22:12:14.432843
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-sync.js.map,file,OLD,4145,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-sync.js.map,2025-10-08T22:12:14.432919
bitten-ui/node_modules/lucide-react/dist/esm/icons/door-closed-locked.js,file,LOCKED,747,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/door-closed-locked.js,2025-10-08T22:12:14.432994
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search.js.map,file,OLD,3303,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search.js.map,2025-10-08T22:12:14.433061
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog-2.js,file,OLD,258,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-cog-2.js,2025-10-08T22:12:14.433125
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-sync.js,file,OLD,815,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-sync.js,2025-10-08T22:12:14.433190
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-down.js.map,file,OLD,3299,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-down.js.map,2025-10-08T22:12:14.433256
bitten-ui/node_modules/lucide-react/dist/esm/icons/database-backup.js.map,file,BACKUP,4274,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/database-backup.js.map,2025-10-08T22:12:14.433325
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-minus.js,file,OLD,637,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-minus.js,2025-10-08T22:12:14.433401
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder.js.map,file,OLD,2627,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder.js.map,2025-10-08T22:12:14.433470
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-output.js,file,OLD,695,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-output.js,2025-10-08T22:12:14.433537
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-x.js.map,file,OLD,3302,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-x.js.map,2025-10-08T22:12:14.433606
bitten-ui/node_modules/lucide-react/dist/esm/icons/file-archive.js,file,ARCHIVE,790,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/file-archive.js,2025-10-08T22:12:14.433676
bitten-ui/node_modules/lucide-react/dist/esm/icons/unfold-vertical.js.map,file,OLD,3865,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/unfold-vertical.js.map,2025-10-08T22:12:14.433744
bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-vertical.js,file,OLD,792,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-vertical.js,2025-10-08T22:12:14.433818
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-pen.js.map,file,OLD,3893,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-pen.js.map,2025-10-08T22:12:14.433888
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder.js,file,OLD,570,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder.js,2025-10-08T22:12:14.433962
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search-2.js.map,file,OLD,3442,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-search-2.js.map,2025-10-08T22:12:14.434061
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-code.js.map,file,OLD,3426,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-code.js.map,2025-10-08T22:12:14.434134
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-edit.js.map,file,OLD,102,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-edit.js.map,2025-10-08T22:12:14.434201
bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-x.js,file,ARCHIVE,654,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-x.js,2025-10-08T22:12:14.434272
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-up.js.map,file,OLD,3269,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-up.js.map,2025-10-08T22:12:14.434340
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-symlink.js.map,file,OLD,3194,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-symlink.js.map,2025-10-08T22:12:14.434407
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-git-2.js,file,OLD,759,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-git-2.js,2025-10-08T22:12:14.434475
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open.js,file,OLD,647,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-open.js,2025-10-08T22:12:14.434546
bitten-ui/node_modules/lucide-react/dist/esm/icons/bold.js.map,file,OLD,1818,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/bold.js.map,2025-10-08T22:12:14.434615
bitten-ui/node_modules/lucide-react/dist/esm/icons/unfold-vertical.js,file,OLD,800,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/unfold-vertical.js,2025-10-08T22:12:14.434685
bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-restore.js,file,ARCHIVE,723,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/archive-restore.js,2025-10-08T22:12:14.434761
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-archive.js.map,file,ARCHIVE,3699,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-archive.js.map,2025-10-08T22:12:14.434827
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-minus.js.map,file,OLD,2976,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-minus.js.map,2025-10-08T22:12:14.434895
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-archive.js,file,ARCHIVE,763,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-archive.js,2025-10-08T22:12:14.434960
bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-horizontal.js,file,OLD,796,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/fold-horizontal.js,2025-10-08T22:12:14.435026
bitten-ui/node_modules/lucide-react/dist/esm/icons/bold.js,file,OLD,497,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/bold.js,2025-10-08T22:12:14.435099
bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-check.js.map,file,OLD,3021,archive_v1/bitten-ui/node_modules/lucide-react/dist/esm/icons/folder-check.js.map,2025-10-08T22:12:14.435164
